tx_alimento;vl_kcal;vl_proteina;vl_carboidrato;vl_gordura;vl_umidade;cd_usuario;tx_grupo;vl_kj;vl_lipideos;vl_colesterol;vl_fibra_alimentar;vl_cinzas;vl_calcio;vl_magnesio;vl_manganes;vl_fosforo;vl_ferro;vl_sodio;vl_potassio;vl_cobre;vl_zinco;vl_retinol;vl_re;vl_rae;vl_tiamina;vl_riboflavina;vl_piridoxina;vl_niacina;vl_vitamina_c
Maracujá, polpa, congelada;39;0.81;9.6;;88.9;0;Frutas e derivados;162.17;0.18;;0.51;0.52;4.61;9.7;0.07;15.26;0.29;8.1;227.91;0.05;0.19;;;;;0.09;0.06;;7.26
Maracujá, suco concentrado, envasado;42;0.77;9.64;;88.94;0;Frutas e derivados;175.59;0.19;;0.35;0.46;4.16;4.16;0.07;13.9;0.35;21.69;200.7;0.05;0.14;;;;;0.08;0.05;1.92;13.68
Melancia, crua;33;0.88;8.14;;90.67;0;Frutas e derivados;136.43;;;0.12;0.27;7.72;9.63;0.14;12.18;0.23;;104.03;0.04;0.1;;61;30.5;;;;;6.15
Melão, cru;29;0.68;7.53;;91.28;0;Frutas e derivados;122.88;;;0.25;0.52;2.86;5.95;0.05;10.14;0.23;11.17;216;0.04;0.09;;2;1;;;0.02;;8.68
Mexerica, Murcote, crua;58;0.88;14.86;;83.65;0;Frutas e derivados;240.97;0.13;;3.07;0.47;33.07;12.3;0.05;19.5;0.07;1.17;158.54;0.06;0.1;;;;0.08;0.07;0.05;;21.8
Mexerica, Rio, crua;37;0.65;9.34;;89.57;0;Frutas e derivados;154.27;0.13;;2.73;0.32;17.18;8.21;0.05;13.7;0.09;1.82;124.99;0.07;0.15;;;;0.03;;;;111.97
Morango, cru;30;0.89;6.82;;91.53;0;Frutas e derivados;126.14;0.31;;1.72;0.45;10.9;9.67;0.33;22.43;0.32;;184.4;0.06;0.18;;;;;0.03;0.03;;63.6
Nêspera, crua;43;0.31;11.53;;87.76;0;Frutas e derivados;177.98;;;2.96;0.4;19.69;9.72;0.07;10.08;0.15;;112.85;0.12;0.12;;170;85;;;;;3.16
Pequi, cru;205;2.34;12.97;;65.89;0;Frutas e derivados;857.58;17.97;;19.04;0.83;32.44;29.77;0.64;33.75;0.27;;297.79;0.21;0.96;;60;30;0.17;0.48;0.06;2.57;8.28
Pêra, Park, crua;61;0.24;16.07;;83.19;0;Frutas e derivados;253.5;0.23;;2.98;0.27;8.71;6.12;0.04;11.71;0.32;0.98;102.22;0.08;0.07;;;;0.06;;;;2.36
Pêra, Williams, crua;53;0.57;14.02;;85.03;0;Frutas e derivados;223.05;0.11;;3.01;0.27;8.28;5.78;0.04;11.77;0.09;;115.87;0.07;0.08;; ; ;;;;;2.83
Pêssego, Aurora, cru;36;0.83;9.32;;89.32;0;Frutas e derivados;151.99;;;1.42;0.53;3.23;4.44;0.05;15.44;0.22;;123.79;0.02;0.06;;;;0.05;;;;3.25
Pêssego, enlatado, em calda;63;0.71;16.88;;82.19;0;Frutas e derivados;264.19;;;1.02;0.23;4.1;4.04;0.03;8.81;0.6;3.2;94.72;0.04;0.09;;47.54;23.77;;;;;
Pinha, crua;88;1.49;22.45;;75.05;0;Frutas e derivados;370.17;0.32;;3.36;0.7;20.88;30.54;0.15;34.4;0.21;1.34;283.05;0.11;0.24;;;;0.12;0.04;0.09;;35.9
Pitanga, crua;41;0.93;10.24;;88.29;0;Frutas e derivados;173.28;0.17;;3.24;0.36;17.88;12.23;0.36;13.14;0.4;1.7;113.44;0.08;0.35;;154;77;0.03;0.1;;;24.87
Pitanga, polpa, congelada;19;0.29;4.76;;94.57;0;Frutas e derivados;79.94;0.12;;0.74;0.26;7.8;6.2;0.05;12.22;0.37;5.03;87.31;0.06;0.09;;145.54;72.77;;;;;
Romã, crua;56;0.4;15.11;;83.99;0;Frutas e derivados;233.21;;;0.44;0.5;4.75;12.7;0.13;40.27;0.26;0.59;484.57;0.19;0.67;;;;0.12;0.17;0.05;;8.12
Tamarindo, cru;276;3.21;72.53;;21.95;0;Frutas e derivados;1153.51;0.46;;6.45;1.86;37.1;59.11;0.34;54.59;0.55;0.36;722.99;0.29;0.67;;;;0.31;;0.1;;7.25
Tangerina, Poncã, crua;38;0.85;9.61;;89.22;0;Frutas e derivados;158.22;0.07;;0.94;0.31;12.89;7.73;0.04;12.45;0.11;;131.44;0.03;;;47.38;23.69;0.06;0.02;0.02;;48.82
Tangerina, Poncã, suco;36;0.52;8.8;;90.44;0;Frutas e derivados;150.98;;;;0.28;4.28;6.46;0.02;9.02;;;119;0.02;;;51.17;25.58;0.06;;0.03;;41.75
Tucumã, cru;262;2.09;26.47;;51.26;0;Frutas e derivados;1096.27;19.08;;12.65;1.09;46.34;121.01;0.55;52.55;0.57;3.89;401.17;0.39;0.87;;2362.64;1181.32;0.04;;0.11;;17.99
Umbu, cru;37;0.84;9.4;;89.25;0;Frutas e derivados;154.88;;;1.98;0.47;11.56;11.35;0.03;13.38;0.09;;151.83;0.04;0.42;;;;0.05;0.06;0.03;;24.06
Umbu, polpa, congelada;34;0.51;8.79;;90.19;0;Frutas e derivados;142.02;0.07;;1.34;0.45;10.71;8.12;0.05;12.68;0.21;5.77;153.88;0.04;0.07;;;;;0.06;;;3.95
Uva, Itália, crua;53;0.75;13.57;;84.97;0;Frutas e derivados;221.16;0.2;;0.92;0.57;6.66;4.98;0.13;12.12;0.14;;161.94;0.11;;;5.33;2.67;;;0.03;;3.29
Uva, Rubi, crua;49;0.61;12.7;;86.08;0;Frutas e derivados;205.27;0.16;;0.93;0.46;7.62;5.83;0.07;22.79;0.17;7.92;158.89;0.05;;;;;0.02;0.02;;;1.86
Uva, suco concentrado, envasado;58;;14.71;;85.13;0;Frutas e derivados;241.23;;;0.23;0.16;9.32;7.06;0.2;10.02;0.12;9.58;53.73;0.13;0.05;;;;0.07;0.02;0.05;;20.97
Azeite, de dendê;884;;;;;0;Gorduras e óleos;3698.66;100;;;;;;;;;;;;;;;;;;;;
Azeite, de oliva, extra virgem;884;;;;;0;Gorduras e óleos;3698.66;100;;;;;;;;;;;;;;;;;;;;
Manteiga, com sal;726;0.41;0.06;;15.79;0;Gorduras e óleos;3037.45;82.36;200.55;;1.37;9.42;1.47;;27.7;0.15;578.69;14.78;;;923.55;;;;;;;
Manteiga, sem sal;758;0.4;0;;13.63;0;Gorduras e óleos;3169.55;86.04;213.95;;0.05;3.61;1.43;;7.07;;3.85;5.2;0.04;;1013.09;;;;;;;
Margarina, com óleo hidrogenado, com sal (65% de lipídeos);596;;0;;32.23;0;Gorduras e óleos;2494.16;67.43;;;1.94;5.56;1.13;;7.26;0.09;894.04;21.42;;;462.12;;;;;;;
Margarina, com óleo hidrogenado, sem sal (80% de lipídeos);723;;0;;19.59;0;Gorduras e óleos;3023.05;81.73;;;0.16;2.6;0.54;;3.75;0.05;77.89;1.77;;;534.38;;;;;;;
Margarina, com óleo interesterificado, com sal (65%de lipídeos);594;;0;;31.97;0;Gorduras e óleos;2487.19;67.25;;;1.25;4.54;1.23;;5.97;;560.8;14.71;;;385.39;;;;;;;
Margarina, com óleo interesterificado, sem sal (65% de lipídeos);593;;0;;33.37;0;Gorduras e óleos;2481.69;67.1;;;0.1;4.96;1.15;;7.16;0.08;33.19;4.73;;;245.1;;;;;;;
Óleo, de babaçu;884;;;;;0;Gorduras e óleos;3698.66;100;;;;;;;;;;;;;;;;;;;;
Óleo, de canola;884;;;;;0;Gorduras e óleos;3698.66;100;;;;;;;;;;;;;;;;;;;;
Óleo, de girassol;884;;;;;0;Gorduras e óleos;3698.66;100;;;;;;;;;;;;;;;;;;;;
Óleo, de milho;884;;;;;0;Gorduras e óleos;3698.66;100;;;;;;;;;;;;;;;;;;;;
Óleo, de pequi;884;;;;;0;Gorduras e óleos;3698.66;100;;;;;;;;;;;;;;;;;;;;
Óleo, de soja;884;;;;;0;Gorduras e óleos;3698.66;100;;;;;;;;;;;;;;;;;;;;
Abadejo, filé, congelado, assado;112;23.53;0;;74.32;0;Pescados e frutos do mar;467;1.24;102.8;;1.65;22.61;20.25;;337.86;0.53;334.39;155.64;0.03;0.51;;;;;;;0.44;
Abadejo, filé, congelado,cozido;91;19.35;0;;79.73;0;Pescados e frutos do mar;381.18;0.94;86.86;;0.89;16.73;15.74;;350.7;0.33;189.34;145.67;0.03;0.44;;;;;;;;
Abadejo, filé, congelado, cru;59;13.08;0;;86.42;0;Pescados e frutos do mar;247.33;0.36;31.41;;0.63;10.17;14.5;0.01;90.54;0.11;78.52;148.35;0.14;0.39;;;;0.04;;;4.6;
Abadejo, filé, congelado, grelhado;130;27.61;0;;70.96;0;Pescados e frutos do mar;542.43;1.3;135.85;;1.59;20.17;22.11;;581.13;0.33;305.09;278.64;;0.44;5.69;5.69;5.69;0.03;;;0.44;
Atum, conserva em óleo;166;26.19;0;;64.5;0;Pescados e frutos do mar;694.17;6;52.94;;1.53;6.52;29.48;;211.01;1.23;362.15;279.86;0.04;0.59;;;;0.15;0.03;;3.17;
Atum, fresco, cru;118;25.68;0;;73.05;0;Pescados e frutos do mar;491.62;0.87;47.8;;1.31;6.69;32.23;;253.86;1.27;30.3;307.76;0.09;0.4;20.3;20.3;20;;0.04;;5.94;
Bacalhau, salgado, cru;136;29.04;0;;47.89;0;Pescados e frutos do mar;568.58;1.32;138.88;;22.5;156.97;49.47;0.03;186.21;0.85;13585.06;433.9;0.09;0.67;;;;;0.21;;;
Bacalhau, salgado, refogado;140;23.98;1.22;;65.91;0;Pescados e frutos do mar;584.34;3.61;111.97;;5.28;59.12;15.06;;51.34;0.15;1256.28;50.22;0.04;0.56;;;;0.03;0.05;;5.17;
Cação, posta, com farinha de trigo, frita;208;24.95;3.1;;60.62;0;Pescados e frutos do mar;871.66;9.95;74.91;0.54;1.37;30.44;25.51;0.06;461.57;1;160.03;419.89;;0.55;17.38;17.38;17.38;;;;0.77;
Cação, posta, cozida;116;25.59;0;;75.93;0;Pescados e frutos do mar;485.4;0.75;83.25;;1.18;10.32;21.12;;203.71;0.32;114.91;248.64;0.03;0.61;11.62;11.62;12;;0.04;;9.77;
Cação, posta, crua;83;17.85;0;;81.38;0;Pescados e frutos do mar;348.67;0.79;36.13;;1.24;8.7;19.3;0.04;181.45;0.2;176.02;299.02;0.13;0.32;6;6;6;0.04;;;1.31;
Camarão, Rio Grande, grande, cozido;90;18.97;0;;78.71;0;Pescados e frutos do mar;376.62;1;240.85;;1.73;89.74;18.91;0.06;265.85;1.28;366.55;101.74;0.17;1.24;;;;;;;1.07;
Camarão, Rio Grande, grande, cru;47;9.99;0;;89.13;0;Pescados e frutos do mar;197.42;0.5;123.99;;0.8;51.12;27.37;0.04;233.92;0.67;201.13;72.01;0.11;0.71;20;20;20;;;;;
Camarão, Sete Barbas, sem cabeça, com casca, frito;231;18.39;2.88;;61.04;0;Pescados e frutos do mar;967.53;15.62;283.14;;2.07;959.7;73.97;0.38;336.99;2.44;99.06;106.77;0.19;1.1;;;;0.05;;;0.35;
Caranguejo, cozido;83;18.48;0;;77;0;Pescados e frutos do mar;346.11;0.42;84.61;;3.55;357.15;52.23;0.07;153.69;2.86;360.11;185.83;0.72;5.65;;;;0.04;0.31;;4.17;
Corimba, cru;128;17.37;-0.03;;75.64;0;Pescados e frutos do mar;536.2;5.99;40.23;;1.03;40.05;22.77;0.02;190.07;0.5;47.01;316.74;0.03;0.4;;;;;;;1.87;
Corimbatá, assado;261;19.9;0;;59.93;0;Pescados e frutos do mar;1093.92;19.57;80.09;;0.96;22.3;24.21;0.01;220.64;0.97;40.43;326.5;0.03;0.75;;;;0.13;0.06;;2.7;
Corimbatá, cozido;239;20.13;0;;64.56;0;Pescados e frutos do mar;998.7;16.93;74.62;;0.84;64.69;22.83;0.02;185.27;0.62;37.17;253.99;0.05;0.95;;;;;;;2.09;
Corvina de água doce, crua;101;18.92;0;;79.25;0;Pescados e frutos do mar;422.62;2.24;73.11;;1.02;39.43;24.5;0.02;153.82;0.26;45.09;293.02;0.02;0.36;8.12;8.12;8.12;;0.08;;;
Corvina do mar, crua;94;18.57;0;;79.35;0;Pescados e frutos do mar;391.52;1.58;67.07;;1.08;;23.75;0.01;183.08;0.38;67.97;338.7;0.03;0.36;65.02;65.02;65.02;0.12;0.05;;2.62;
Corvina grande, assada;147;26.77;0;;69.03;0;Pescados e frutos do mar;613.07;3.57;117.05;;1.35;60.23;24.1;0.03;175.9;0.54;85.35;291.46;0.02;0.67;;;;0.11;0.1;;4.23;
Corvina grande, cozida;100;23.44;0;;73.61;0;Pescados e frutos do mar;418.73;2.56;122.56;;0.9;69.37;22.22;0.02;163.56;0.58;68.39;194.04;0.03;0.69;6.28;6.28;6.28;;0.03;;0.77;
Dourada de água doce, fresca;131;18.81;0;;76.16;0;Pescados e frutos do mar;548.98;5.64;51.99;;1.07;12.13;26.26;0.01;189.27;0.15;40.3;392.51;0.02;0.48;;;;;;;3.7;
Lambari, congelado, cru;131;16.81;0;;71.89;0;Pescados e frutos do mar;547.44;6.55;158.66;;3.57;1181.28;44.69;0.28;696.15;0.91;47.92;244.4;0.09;3.34;4.31;4.31;4.31;0.05;;;3.3;
Lambari, congelado, frito;327;28.43;0;;40.14;0;Pescados e frutos do mar;1367.62;22.78;246.32;;6.17;1881.04;66.29;0.34;1067.28;0.81;64.55;331.17;0.31;5.63;9.45;9.45;9.45;0.25;0.03;0.04;8.93;
Lambari, fresco, cru;152;15.65;0;;72.17;0;Pescados e frutos do mar;634.29;9.4;144.25;;2.21;590.27;31.61;0.41;440.93;0.63;41.11;207.36;0.05;2.42;;;;;0.03;0.07;1.86;
Manjuba, com farinha de trigo, frita;344;23.45;10.24;;41.31;0;Pescados e frutos do mar;1437.42;22.59;281.76;0.36;2.41;763.31;46.9;0.36;577.94;3.04;36.52;319.27;0.15;3.77;29.94;29.94;29.94;0.05;0.07;;0.79;
Manjuba, frita;349;30.14;0;;40.68;0;Pescados e frutos do mar;1461.58;24.46;270.34;;4.23;575.03;31.66;0.21;735.43;0.92;40.61;318.18;0.14;3.24;12.07;12.07;12.07;0.03;0.03;;7.27;
Merluza, filé, assado;122;26.6;0;;70.73;0;Pescados e frutos do mar;510.07;0.92;90.97;;1.24;35.91;20.27;0.03;273.2;0.37;119.95;363.57;0.03;0.89;;;;0.05;;;7.97;
Merluza, filé, cru;89;16.61;0;;82.07;0;Pescados e frutos do mar;372.92;2.02;57.18;;1.14;20.4;27.02;0.01;184.57;0.19;79.5;339.53;;0.33;;;;;;;1.34;
Merluza, filé, frito;192;26.93;0;;63.46;0;Pescados e frutos do mar;801.77;8.5;109.1;;1.53;35.63;38.14;0.02;278.93;0.38;89.96;446.62;0.03;0.56;;;;0.05;;;0.77;
Pescada, branca, crua;111;16.26;0;;79.57;0;Pescados e frutos do mar;463.91;4.59;50.77;;0.94;15.74;19.2;0.01;135.85;0.16;76.17;261.4;;0.25;2.77;2.77;2.77;;0.04;;0.6;
Pescada, branca, frita;223;27.36;0;;57;0;Pescados e frutos do mar;933.2;11.78;165.44;;3.24;378.27;30.08;0.06;504.1;0.51;107.23;355.15;0.08;1.12;39.35;39.35;39.35;0.08;0.11;;8.07;
Pescada, filé, com farinha de trigo, frito;283;21.44;5.03;;53.2;0;Pescados e frutos do mar;1185.85;19.12;72.97;;1.21;26.43;28.4;0.07;216.37;0.94;90.51;216.37;0.03;0.43;17.5;17.5;17.5;;0.03;;0.6;
Pescada, filé, cru;107;16.65;0;;79.52;0;Pescados e frutos do mar;448.55;4;64.84;;0.9;13.55;22.8;0.01;141.25;0.17;77.5;253.06;;0.25;47.86;47.86;47.86;;0.05;;3.1;
Pescada, filé, frito;154;28.59;0;;66.8;0;Pescados e frutos do mar;645.47;3.57;80.81;;1.66;10.32;21.12;;203.71;0.32;114.91;248.64;0.03;0.61;4.22;4.22;4.22;0.14;;;8.87;
Pescada, filé, molho escabeche;142;11.75;5.02;;74.53;0;Pescados e frutos do mar;593.95;8.02;43.4;0.78;0.68;20.12;18.06;0.08;105.46;1.47;51.29;208.24;0.36;0.29;19.19;;;;0.03;;1.1;6.89
Pescadinha, crua;76;15.48;0;;80.62;0;Pescados e frutos do mar;319.69;1.14;83.61;;2.02;331.6;33.78;0.07;326.82;0.55;120.34;303.83;0.1;0.55;;;;0.08;;;6.6;
Pintado, assado;192;36.45;0;;56.98;0;Pescados e frutos do mar;801.48;3.98;125.96;;2.03;113.54;42.36;0.08;331.8;0.78;80.95;527.15;0.04;2.1;6.57;6.57;6.57;0.03;;;6.63;
Pintado, cru;91;18.56;0;;80.27;0;Pescados e frutos do mar;381.09;1.31;50.3;;1.08;12;23.7;0.01;174.47;0.22;43.34;293.65;0.03;0.39;;;;;;;4.95;
Pintado, grelhado;152;30.8;0;;65.49;0;Pescados e frutos do mar;636.76;2.29;99.3;;1.57;68.98;26.74;0.03;237.29;0.48;53.09;360.15;0.04;0.76;5.13;5.13;5.13;0.03;;;2.87;
Porquinho, cru;93;20.49;0;;79.17;0;Pescados e frutos do mar;389.21;0.61;48.61;;1.26;25.88;24.35;0.05;207.3;0.39;66.73;313.42;0.04;0.66;4.65;4.65;4.65;;;;1.19;
Salmão, filé, com pele, fresco,  grelhado;229;23.92;0;;60.93;0;Pescados e frutos do mar;957.01;14.04;85.31;;1.29;28.76;27.79;0.02;299.72;0.54;85.14;383.94;0.04;0.56;;;;0.13;0.06;;5.35;
Salmão, sem pele, fresco, cru;170;19.25;0;;68.98;0;Pescados e frutos do mar;710.37;9.71;53.03;;1.22;8.75;27.42;;258.8;0.24;64.24;376.5;0.02;0.34;;;;0.2;0.03;;3.21;
Salmão, sem pele, fresco, grelhado;243;26.14;0;;58.13;0;Pescados e frutos do mar;1015.48;14.53;72.82;;1.61;15.09;37.86;0.01;352.16;0.37;95.81;517.9;0.04;0.5;;;;0.23;0.03;;6.3;
Sardinha, assada;164;32.18;0;;60.08;0;Pescados e frutos do mar;687.64;2.99;108.99;;4.35;437.73;51.36;0.24;577.78;1.25;74.47;574.34;0.14;1.82;;;;0.06;;;5.83;
Sardinha, conserva em óleo;285;15.94;0;;55.14;0;Pescados e frutos do mar;1192.36;24.05;72.57;;2.86;550.24;35.27;0.11;496.37;3.54;665.84;367.13;0.03;1.64;;;;0.42;0.04;;6.55;
Sardinha, frita;257;33.38;0;;48.49;0;Pescados e frutos do mar;1075.46;12.69;102.87;;4.3;482.07;38.83;0.25;628.76;1.12;60.1;459.94;0.14;1.64;;;;0.06;;;7.1;
Sardinha, inteira, crua;114;21.08;0;;76.64;0;Pescados e frutos do mar;476.56;2.65;60.5;;1.6;167.33;28.53;0.1;293.9;1.34;60.39;312.37;0.13;1.29;;;;;0.07;;7.7;
Tucunaré, filé, congelado, cru;88;17.96;-0.05;;79.88;0;Pescados e frutos do mar;366.88;1.22;46.9;;0.98;19.22;25.64;0.01;167.87;0.27;56.55;288.06;0.1;0.44;;;;;0.05;;0.9;
Apresuntado;129;13.45;2.86;;73.72;0;Carnes e derivados;539.14;6.69;37.67;;3.28;22.58;15.26;0.04;225.39;0.88;942.93;270.07;0.03;1.65;;;;0.62;0.04;;0.7;
Caldo de carne, tablete;241;7.82;15.05;;2.93;0;Carnes e derivados;1006.77;16.57;;0.58;57.63;129.03;22.06;0.02;123.04;;22179.67;218.15;;;;;;0.7;0.07;0.27;;
Caldo de galinha, tablete;251;6.28;10.65;;3.38;0;Carnes e derivados;1052.05;20.42;2.11;11.81;59.28;16.36;12.79;0.13;48.06;0.69;22299.9;68.03;;0.26;;;;0.05;0.04;;;
Carne, bovina, acém, moído, cozido;212;26.69;0;;61.62;0;Carnes e derivados;888.77;10.92;103.13;;0.84;4.03;17.07;0.01;164.44;2.65;52.36;255.71;0.06;8.1;;;;;0.32;;1.76;
Carne, bovina, acém, moído, cru;137;19.42;0;;72.7;0;Carnes e derivados;571.38;5.95;57.94;;0.93;2.61;14.14;;157.61;1.76;48.61;237.3;0.08;6.33;2.32;2.32;2.32;0.15;0.21;0.03;4.33;
Carne, bovina, acém, sem gordura, cozido;215;27.27;0;;60.38;0;Carnes e derivados;897.93;10.88;106.75;;0.83;7.11;14.44;;164.2;2.37;56.17;254.42;0.07;7.97;;;;;0.04;0.07;1.63;
Carne, bovina, acém, sem gordura, cru;144;20.82;0;;71.52;0;Carnes e derivados;602.62;6.11;53.37;;0.96;4.72;13.28;;144.19;1.51;49.85;233.65;0.04;5.21;2.17;2.17;2.17;0.12;0.12;;2.33;
Carne, bovina, almôndegas, cruas;189;12.31;9.79;;64.28;0;Carnes e derivados;791.85;11.2;33.6;;2.41;22.23;23.75;0.17;144.93;1.56;621.25;328.24;0.15;2.33;;;;0.11;0.04;;2.2; 
Carne, bovina, almôndegas, fritas;272;18.16;14.29;;48.09;0;Carnes e derivados;1137.27;15.78;36.38;;3.69;26.76;48.12;0.41;244.3;1.91;1030.26;536.1;0.19;2.61;;;;0.13;0.07;;6.6;
Carne, bovina, bucho, cozido;133;21.64;0;;74.12;0;Carnes e derivados;556.57;4.5;245.47;;0.32;13.21;7.41;0.01;62.63;0.58;38.2;69.81;0.05;2.49;;;;;;;2.18;
Carne, bovina, bucho, cru;137;20.53;0;;74.97;0;Carnes e derivados;574.48;5.5;144.9;;0.37;9.07;6.4;0.01;61.42;0.47;45;84.57;0.06;2.13;;;;;;;2.13;
Carne, bovina, capa de contra-filé, com gordura, crua;217;19.2;0;;64.77;0;Carnes e derivados;907.55;14.96;62.81;;0.9;5.86;17.45;0.01;144.19;1.51;57.54;266.89;0.06;3.54;3.76;3.76;3.76;0.09;0.09;0.12;1.55;
Carne, bovina, capa de contra-filé, com gordura, grelhada;312;30.69;0;;47.88;0;Carnes e derivados;1304.16;20.03;120.43;;1.13;7.26;18.38;;213.63;2.59;80.51;323.45;0.13;6.2;;;;;0.06;;1.74;
Carne, bovina, capa de contra-filé, sem gordura, crua;131;21.54;0;;72.99;0;Carnes e derivados;548.37;4.33;58.35;;1;6.5;19.59;;178.23;2.04;79.17;325.43;0.06;4.59;;;;;0.04;;1.81;
Carne, bovina, capa de contra-filé, sem gordura, grelhada;239;35.06;-0.01;;53.74;0;Carnes e derivados;1001.83;9.95;80.29;;1.25;8.84;25.61;0.01;287.38;2.84;82.75;384.84;0.12;7.64;;;;0.03;0.08;;1.86;
Carne, bovina, charque, cozido;263;36.36;0;;45.79;0;Carnes e derivados;1099.47;11.92;113.43;;3.63;14.85;12.81;0.02;100.9;3.45;1442.7;89.57;0.07;6.09;;;;0.05;0.07;;1.5;
Carne, bovina, charque, cru;249;22.71;0;;44.47;0;Carnes e derivados;1041.23;16.84;80.69;;14.49;15.18;13.36;;122.29;1.53;5875.03;236.26;0.03;3.89;;;;0.12;0.07;;1.63;
Carne, bovina, contra-filé, à milanesa;352;20.61;12.17;;42.16;0;Carnes e derivados;1471.06;24;99.36;0.37;1.05;14.67;27.04;0.27;202.95;2.9;77.09;270.96;0.1;2.86;15.08;;;0.07;0.04;;3.02;
Carne, bovina, contra-filé de costela, cru;202;19.8;0;;66.38;0;Carnes e derivados;847;13.07;52.31;;0.95;3.16;14;;163.85;1.56;38.52;245.07;0.04;4.35;3.05;3.05;3.05;0.14;0.08;;2.68;
Carne, bovina, contra-filé de costela, grelhado;275;29.88;0;;52.19;0;Carnes e derivados;1150.24;16.33;97.87;;1.15;4.29;23.57;0.01;251.89;2.79;50.88;382.74;0.08;6.68;;;;;0.19;0.17;2.75;
Carne, bovina, contra-filé, com gordura, cru;206;21.15;0;;65.75;0;Carnes e derivados;861.3;12.81;72.65;;0.92;3.67;18.16;0.01;164.2;1.31;44.13;284.65;0.04;2.79;3.59;3.59;3.59;0.11;0.08;0.03;3.79;
Carne, bovina, contra-filé, com gordura, grelhado;278;32.4;0;;51.71;0;Carnes e derivados;1163.38;15.49;143.86;;1.22;4.46;18.66;;218.54;2.35;57.07;351.86;0.09;4.78;;;;;0.18;0.13;4.91;
Carne, bovina, contra-filé, sem gordura, cru;157;24;0;;69.14;0;Carnes e derivados;655.28;6;59.46;;0.99;4.2;20.63;;183.82;1.68;52.89;334.62;0.05;3.24;;;;;0.2;;4.64;
Carne, bovina, contra-filé, sem gordura, grelhado;194;35.88;0;;57.53;0;Carnes e derivados;810.41;4.49;101.9;;1.27;5;21.06;;240.6;2.35;57.51;386.47;0.09;5.14;;;;;0.17;0.16;4.93;
Carne, bovina, costela, assada;373;28.81;0;;43.19;0;Carnes e derivados;1560.79;27.72;94.59;;0.99;28.01;19.55;;179.05;2.18;91.86;270.01;0.08;5.45;;;;;0.08;0.35;0.56;
Carne, bovina, costela, crua;358;16.71;0;;52.73;0;Carnes e derivados;1496.71;31.75;44.19;;0.9;;11.68;;129.97;1.2;70;151.16;;2.7;4.57;4.57;4.57;0.12;0.11;;5.99;
Carne, bovina, coxão duro, sem gordura, cozido;217;31.88;0;;58.53;0;Carnes e derivados;906.32;8.92;71.1;;0.88;3.98;13.79;;188.97;1.7;41.1;251.66;0.07;4.97;2.06;2.06;2.06;;;;3.26;
Carne, bovina, coxão duro, sem gordura, cru;148;21.51;0;;69.8;0;Carnes e derivados;619.09;6.22;59.98;;1.09;2.95;21.11;;188.51;1.89;48.55;357.88;0.05;2.81;2.07;2.07;2.07;0.12;0.2;;4.38;
Carne, bovina, coxão mole, sem gordura, cozido;219;32.38;0;;58.04;0;Carnes e derivados;914.94;8.91;84.15;;1.23;3.73;13.47;;182.67;2.56;43.5;238.51;0.11;4.7;2.47;2.47;2.47;;;;4.09;
Carne, bovina, coxão mole, sem gordura, cru;169;21.23;0;;68.6;0;Carnes e derivados;707.37;8.69;83.82;;1.04;2.99;20.72;;175.4;1.89;60.53;334.9;0.05;2.63;2.61;2.61;2.61;0.12;0.19;;2.32;
